region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Barreiras,16.967276850801877,0.0,87.61030760710256,0.0,False
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,0.5548052286611069,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,3.208990536277603,0.0,22.6698648519823,0.0,False
Brazil.regions.BA:Campo Formoso,14.197874899759421,0.0,72.9637728180573,0.0,False
Brazil.regions.GO:Formosa,5.985171585934191,0.0,54.90834783252898,0.0,False
Brazil.regions.GO:Jataí,12.880123116798961,0.0,83.18363427416566,0.0,False
Brazil.regions.GO:Minaçu,1.2595837897042717,0.0,9.369991805820721,0.0,False
Brazil.regions.GO:Padre Bernardo,0.5,0.0,4.384468823478521,0.0,False
Brazil.regions.GO:Quirinópolis,1.2857142857142858,0.0,9.91132116565999,0.0,False
Brazil.regions.MA:Arame,4.698795180722891,0.0,10.288549201794162,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,6.565694176853775,0.0,False
Brazil.regions.MA:Tuntum,9.081784386617102,0.0,20.232236863332155,0.0,False
Brazil.regions.MG:Diamantina,2.733333333333333,0.0,0.8858016639243965,0.0,False
Brazil.regions.MG:Três Marias,7.1267087276550996,0.0,36.67601419358522,0.0,False
Brazil.regions.MG:Unaí,10.282520654462983,0.0,79.10354300021521,0.0,False
Brazil.regions.MS:Naviraí,11.34351554126474,0.0,59.45501515531938,0.0,False
Brazil.regions.MS:Nova Andradina,8.218694313947836,0.0,68.00941392321182,0.0,False
Brazil.regions.MS:Ponta Porã,16.891948809330955,0.0,87.05708804438369,0.0,False
Brazil.regions.MS:Sidrolândia,17.04584480803499,0.0,86.57003847430427,0.0,False
Brazil.regions.MT:Primavera do Leste,4.780611123323808,0.0,46.45485321730805,0.0,False
Brazil.regions.MT:Sorriso,13.426944971537,0.0,3.8900017185063906,0.0,False
Brazil.regions.PA:Ipixuna do Pará,13.582938388625594,0.0,4.726011881846904,0.0,False
Brazil.regions.PA:Ulianópolis,19.937381404174573,0.0,20.386570526565926,0.0,False
Brazil.regions.PI:Floriano,11.418185459643501,0.0,12.58656834389609,0.0,False
Brazil.regions.RS:Alegrete,15.784707597602461,0.0,85.23153611526955,0.0,False
Brazil.regions.RS:Caçapava do Sul,3.6265560165975104,0.0,19.665178408528174,0.0,False
Brazil.regions.RS:Itaqui,1.3818181818181818,0.0,10.622425612016173,0.0,False
Brazil.regions.RS:Sant'Ana do Livramento,9.26915600194395,0.0,76.83481008326466,0.0,False
Brazil.regions.RS:São Borja,0.2444444444444444,0.0,9.010357870714197,0.0,False
Brazil.regions.RS:São Gabriel,16.433175835302062,0.0,83.69602761651204,0.0,False
Brazil.regions.RS:Uruguaiana,12.865001687478905,0.0,81.70836652999688,0.0,False
