region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Barreiras,0.670602858918583,0.0,4.991724430071694,0.0,False
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,1.7279684409795681,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,3.9319137749737116,0.0,11.096224892844981,0.0,False
Brazil.regions.BA:Campo Formoso,0.0,0.0,4.662112680603661,0.0,False
Brazil.regions.GO:Formosa,5.371840135574073,0.0,2.287510045542902,0.0,False
Brazil.regions.GO:Jataí,8.83032939714108,0.0,6.160751359068941,0.0,False
Brazil.regions.GO:Minaçu,1.7962760131434832,0.0,5.180891274513255,0.0,False
Brazil.regions.GO:Padre Bernardo,0.0,0.0,3.110969283790719,0.0,False
Brazil.regions.GO:Quirinópolis,0.25,0.0,3.569734496816357,0.0,False
Brazil.regions.MA:Arame,6.637458926615554,0.0,19.15399936733278,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,5.392530964535314,0.0,False
Brazil.regions.MA:Tuntum,13.873251902991681,0.0,30.799409732724506,0.0,False
Brazil.regions.MG:Diamantina,3.8666666666666667,0.0,5.719674833120057,0.0,False
Brazil.regions.MG:Três Marias,0.0,0.0,2.975871829200317,0.0,False
Brazil.regions.MG:Unaí,7.532360643471754,0.0,7.415170125548489,0.0,False
Brazil.regions.MS:Naviraí,0.2853697749196141,0.0,3.72425726671618,0.0,False
Brazil.regions.MS:Nova Andradina,10.08249027237354,0.0,14.405204789722069,0.0,False
Brazil.regions.MS:Ponta Porã,0.5201988812927284,0.0,4.42349228149891,0.0,False
Brazil.regions.MS:Sidrolândia,0.5326289620882536,0.0,3.587133867993389,0.0,False
Brazil.regions.MT:Primavera do Leste,13.937129039349312,0.0,18.437343343724812,0.0,False
Brazil.regions.MT:Sorriso,16.719165085388994,0.0,13.658881208829607,0.0,False
Brazil.regions.PA:Ipixuna do Pará,18.843601895734597,0.0,24.969295794096183,0.0,False
Brazil.regions.PA:Ulianópolis,23.229601518026566,0.0,35.085356403208266,0.0,False
Brazil.regions.PI:Floriano,20.22872020829161,0.0,29.475482173475093,0.0,False
