region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.RS:Saldanha Marinho,13.265402843601896,1.6208530805687207,699.5650670592314,61.16426719127246,False
United_States_of_America.regions.Colorado:Eagle,417.4706673842842,5.546734840330104,746.3654018351766,10.061738966985514,False
United_States_of_America.regions.Georgia:Dooly,104.85517576543008,8.685404179491332,829.2451627537489,64.86485570941996,False
United_States_of_America.regions.Georgia:Mitchell,269.7442834138486,25.690177133655393,1251.2449211390701,117.50526978756527,False
United_States_of_America.regions.Georgia:Worth,130.04606332305968,9.7696833847016,663.6661425674616,48.25249856621524,False
United_States_of_America.regions.Indiana:Newton,40.434717545828654,7.114104002992891,332.4185240281582,50.8731693577867,False
United_States_of_America.regions.Kansas:Finney,517.8941634241246,2.449805447470817,1418.9495731329998,6.71786943667101,False
United_States_of_America.regions.Kansas:Ford,583.953382084095,0.7891529555149298,1737.8138564723995,2.3473421443675595,False
United_States_of_America.regions.Kansas:Seward,501.90292829144573,0.1383444777495965,2359.672088762162,0.6456247794922367,False
United_States_of_America.regions.Kentucky:Butler,123.38870183314629,4.098765432098766,1006.9647668790141,31.82518388150295,False
United_States_of_America.regions.Kentucky:Jackson,45.26876513317191,8.769975786924942,384.09465526584444,65.79620216764154,False
United_States_of_America.regions.Louisiana:East Feliciana,106.27854419410747,13.4578856152513,579.3947075875709,70.33125484845206,False
United_States_of_America.regions.Louisiana:Plaquemines,148.55934959349594,13.77831978319783,655.3539703129132,59.39699005560129,False
United_States_of_America.regions.Louisiana:Pointe Coupee,89.81830155979202,12.41941074523397,430.98177660083286,57.15329381147707,False
United_States_of_America.regions.Louisiana:West Feliciana,115.00100791936647,3.599712023038157,774.7353270373355,23.12250785610327,False
United_States_of_America.regions.Minnesota:Nobles,897.3646838156485,1.4107717041800643,4165.511844324727,6.52259329687024,False
United_States_of_America.regions.Mississippi:Leake,176.3237101449275,2.070144927536232,789.4928313494834,9.085161623524233,False
United_States_of_America.regions.Missouri:Saline,158.0824544582934,0.0,709.6147780334418,0.0,False
United_States_of_America.regions.Tennessee:Bledsoe,427.613542835765,0.21773288439955107,2871.7379711296426,1.4453855841712098,False
United_States_of_America.regions.Virginia:Buckingham,151.73135335808303,0.5973675329058387,914.4744121285985,3.4835988622920384,False
United_States_of_America.regions.Virginia:Greensville,24.767315175097277,4.913618677042802,278.41889225007424,43.345260030370525,False
Brazil.regions.PE:Recife,3397.197972730535,214.98205956225334,184.46386233768635,13.063045059250614,False
Czechia,5396.208109077861,140.047093649085,26.508199310864015,1.318004080195084,False
Hungary,1805.1693577323288,188.18756727664154,11.462203339194355,1.9264173310871466,False
Portugal,16398.770093290274,590.2789738069608,132.84224258418283,5.741029346983143,False
Brazil.regions.AM:Iranduba,158.97073017205201,12.10553923625682,321.41184657714325,25.06530403399209,True
Brazil.regions.AM:Tabatinga,218.6029055690073,20.168280871670703,319.17055638627335,30.630400449047297,True
Brazil.regions.BA:Abaíra,6.192277383766746,0.0,14.250655599339252,0.0,True
Brazil.regions.BA:Almadina,6.333333333333334,0.0,9.198142225057309,0.0,True
Brazil.regions.BA:Canavieiras,4.882584712371947,0.0,18.927889042372893,0.0,True
Brazil.regions.BA:Capela do Alto Alegre,0.0,0.0,5.729181530007732,0.0,True
Brazil.regions.BA:Dom Basílio,1.0,0.0,13.530687932917129,0.0,True
Brazil.regions.BA:Igrapiúna,1.0,0.0,12.257631400914264,0.0,True
Brazil.regions.BA:Ipirá,5.169848262359276,0.0,17.81444609005424,0.0,True
Brazil.regions.BA:Itagibá,3.060980172091282,0.9337822671156005,25.666017089527312,6.404981597610265,True
Brazil.regions.BA:Itapicuru,1.0,0.0,2.757668958707615,0.0,True
Brazil.regions.BA:Itapé,7.626477541371158,0.9944838455476754,10.339759045003552,11.351259508591205,True
Brazil.regions.BA:Jussari,3.109954456733897,0.0,9.050308431215802,0.0,True
Brazil.regions.BA:Lajedo do Tabocal,2.2287735849056602,0.0,33.28758252369829,0.0,True
Brazil.regions.BA:Medeiros Neto,8.631454606817416,0.0,22.768106530613682,0.0,True
Brazil.regions.BA:Miguel Calmon,0.0,0.0,0.978655961426603,0.0,True
Brazil.regions.BA:Mundo Novo,0.0,1.0,0.8705892551123234,3.7346877801015834,True
Brazil.regions.BA:Paramirim,6.67728801557798,0.4177730571782617,15.383065672343365,1.9335079241831887,True
Brazil.regions.BA:Piripá,8.763113722198907,0.0,19.510026807273334,0.0,True
Brazil.regions.BA:Prado,6.35151330489539,0.0,15.544364994693513,0.0,True
Brazil.regions.BA:Rafael Jambeiro,1.7715959004392388,0.0,8.426465434481777,0.0,True
Brazil.regions.BA:Rio do Pires,7.534833869239014,0.0,12.660715829136333,0.0,True
