region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.PE:Jaboatão dos Guararapes,0.3333333333333333,0.0,23.63101414913425,0.0,False
Brazil.regions.RS:Canoas,1.6666666666666667,0.0,23.051523867861523,0.0,False
United_States_of_America.regions.Virginia:Manassas Park city,0.0,0.0,18.099388649535374,0.0,False
Brazil.regions.MG:Belo Horizonte,2.6666666666666665,0.0,23.67490511724907,0.0,False
Brazil.regions.PE:Recife,1.0,0.0,23.699340240663144,0.0,False
Albania,3.6666666666666665,0.0,23.658059873993874,0.0,False
Armenia,0.0,0.0,23.78698917012683,0.0,False
Brazil.regions.AL,0.0,0.0,23.790903248901685,0.0,False
Brazil.regions.SE,0.0,0.0,23.777364154425005,0.0,False
Moldova,0.0,0.0,23.79266535942598,0.0,False
Slovenia,3.3333333333333335,0.0,23.611261196666245,0.0,False
United_States_of_America.regions.California:Riverside,0.0,0.0,23.780390197123563,0.0,False
United_States_of_America.regions.Nevada:Clark,0.0,0.0,23.776750373226758,0.0,False
Brazil.regions.PB:João Pessoa,0.0,0.0,23.697259977097588,0.0,False
Brazil.regions.RJ:Niterói,0.0,0.0,23.62615696398177,0.0,False
Brazil.regions.SP:Embu das Artes,0.0,0.0,23.455538247079577,0.0,False
Brazil.regions.AC:Cruzeiro do Sul,1.0,0.0,21.55780923580321,0.0,False
Brazil.regions.AM:Itacoatiara,1.0,0.0,21.84725428265632,0.0,False
Brazil.regions.AM:Manacapuru,1.0,0.0,21.766993988379998,0.0,False
Brazil.regions.AM:Parintins,0.0,0.0,22.945769724980995,0.0,False
Brazil.regions.BA:Barreiras,0.0,0.0,23.177527891841752,0.0,False
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,19.482346804210273,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,0.6666666666666666,0.0,18.033428137042538,0.0,False
Brazil.regions.BA:Campo Formoso,0.0,0.0,22.416491043834366,0.0,False
Brazil.regions.CE:Tauá,3.0,0.0,17.024965008510538,0.0,False
Brazil.regions.GO:Formosa,1.3333333333333333,0.0,21.902275654569024,0.0,False
Brazil.regions.GO:Jataí,0.0,0.0,22.829609967291912,0.0,False
Brazil.regions.GO:Minaçu,0.0,0.0,20.380894599341534,0.0,False
Brazil.regions.GO:Padre Bernardo,0.0,0.0,20.865347647021423,0.0,False
Brazil.regions.GO:Quirinópolis,0.0,0.0,21.823463703949994,0.0,False
Brazil.regions.MA:Arame,0.0,0.0,20.762856621165927,0.0,False
Brazil.regions.MA:Açailândia,0.0,0.0,22.93154341021223,0.0,False
Brazil.regions.MA:Barra do Corda,2.0,0.0,20.41996924253272,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,12.361847398695392,0.0,False
Brazil.regions.MA:Santa Luzia,0.0,0.0,22.44472660314186,0.0,False
Brazil.regions.MA:Tuntum,0.0,0.0,21.430352640854483,0.0,False
Brazil.regions.MG:Diamantina,0.0,0.0,21.725441393833638,0.0,False
Brazil.regions.MG:Paracatu,0.0,0.0,22.74742196481041,0.0,False
Brazil.regions.MG:São Francisco,0.0,1.0,22.045393471976876,1.7754736075848232,False
Brazil.regions.MG:Três Marias,0.0,0.0,20.730250192431022,0.0,False
Brazil.regions.MG:Unaí,0.0,0.0,22.63572403279595,0.0,False
Brazil.regions.MS:Naviraí,0.0,0.0,21.998643237584947,0.0,False
Brazil.regions.MS:Nova Andradina,1.0,0.0,20.14263851443866,0.0,False
Brazil.regions.MS:Ponta Porã,0.0,0.0,22.740089784531108,0.0,False
Brazil.regions.MS:Sidrolândia,0.0,0.0,22.08671291325631,0.0,False
Brazil.regions.MS:Três Lagoas,0.0,0.0,22.997062420122536,0.0,False
Brazil.regions.MT:Lucas do Rio Verde,0.0,0.6666666666666666,22.294941605761835,1.0172836491999064,False
Brazil.regions.MT:Primavera do Leste,0.0,0.0,22.20845797912473,0.0,False
Brazil.regions.MT:Sorriso,3.0,0.0,19.39182585626051,0.0,False
Brazil.regions.PA:Acará,0.0,0.0,22.022014747349644,0.0,False
Brazil.regions.PA:Baião,0.6666666666666666,0.0,20.308101690136525,0.0,False
Brazil.regions.PA:Breu Branco,0.0,0.0,22.306770843604937,0.0,False
Brazil.regions.PA:Canaã dos Carajás,0.0,1.0,21.124359057450327,2.6965080221113653,False
Brazil.regions.PA:Dom Eliseu,0.0,0.0,22.146358129311356,0.0,False
Brazil.regions.PA:Eldorado do Carajás,0.0,0.0,20.862987287796432,0.0,False
Brazil.regions.PA:Ipixuna do Pará,2.3333333333333335,0.0,18.616843328397294,0.0,False
Brazil.regions.PA:Moju,0.0,0.0,22.602751261109674,0.0,False
Brazil.regions.PA:Muaná,0.0,0.0,21.342490911626925,0.0,False
Brazil.regions.PA:Tomé-Açu,0.0,0.0,22.24474842934971,0.0,False
Brazil.regions.PA:Ulianópolis,1.0,0.0,20.44305927682567,0.0,False
Brazil.regions.PA:Xinguara,0.0,0.0,21.586280142956927,0.0,False
Brazil.regions.PI:Floriano,0.6666666666666666,0.0,21.040076778958262,0.0,False
Brazil.regions.RO:Buritis,0.0,0.0,21.299053391156992,0.0,False
Brazil.regions.RO:Ji-Paraná,0.0,0.0,23.045486949452908,0.0,False
Brazil.regions.RS:Alegrete,0.0,0.0,22.461968331107443,0.0,False
Brazil.regions.RS:Caçapava do Sul,0.0,0.0,20.846800936330666,0.0,False
Brazil.regions.RS:Itaqui,0.0,0.0,21.162706526664298,0.0,False
Brazil.regions.RS:Sant'Ana do Livramento,1.0,0.0,21.224374940441646,0.0,False
Brazil.regions.RS:São Borja,1.0,0.0,20.50312712401941,0.0,False
Brazil.regions.RS:São Gabriel,0.0,0.0,22.21069076525528,0.0,False
Brazil.regions.RS:Uruguaiana,0.0,0.0,23.033279460439065,0.0,False
Brazil.regions.TO:Porto Nacional,0.0,0.0,21.934430558150638,0.0,False
Sweden.regions.Kalmar,1.6666666666666667,0.0,22.730963672251164,0.0,False
United_States_of_America.regions.California:Del Norte,0.0,0.0,20.225296822118864,0.0,False
United_States_of_America.regions.California:Humboldt,0.0,0.0,23.083175464164594,0.0,False
United_States_of_America.regions.California:Imperial,3.0,0.0,21.6135442861947,0.0,False
United_States_of_America.regions.California:Mendocino,0.0,0.0,22.66811603920388,0.0,False
United_States_of_America.regions.California:San Benito,0.0,0.0,22.228713213812103,0.0,False
United_States_of_America.regions.California:Shasta,0.0,0.0,23.265558327895764,0.0,False
United_States_of_America.regions.California:Tehama,0.0,0.0,22.284391140774897,0.0,False
United_States_of_America.regions.Colorado:Delta,0.0,0.0,20.611830432363185,0.0,False
United_States_of_America.regions.Colorado:Eagle,0.0,0.0,22.006873936455776,0.0,False
United_States_of_America.regions.Colorado:Fremont,0.0,0.0,21.73052238172102,0.0,False
United_States_of_America.regions.Colorado:Garfield,0.6666666666666666,0.0,21.045910507632044,0.0,False
United_States_of_America.regions.Colorado:La Plata,0.0,0.0,22.042172285801357,0.0,False
United_States_of_America.regions.Colorado:Mesa,0.0,0.0,23.172400702543342,0.0,False
United_States_of_America.regions.Hawaii:Hawaii,0.0,0.0,23.32462117979344,0.0,False
United_States_of_America.regions.Idaho:Jefferson,1.0,0.0,17.125409947225982,0.0,False
United_States_of_America.regions.Idaho:Twin Falls,0.0,0.0,22.669827690993817,0.0,False
United_States_of_America.regions.Kansas:Butler,0.0,0.0,22.3263445047982,0.0,False
United_States_of_America.regions.Kansas:Cowley,0.0,0.0,20.956194225201664,0.0,False
United_States_of_America.regions.Kansas:Finney,0.0,0.0,21.07866179807432,0.0,False
United_States_of_America.regions.Kansas:Ford,0.0,0.0,20.84635861708512,0.0,False
United_States_of_America.regions.Louisiana:Beauregard,0.0,0.0,21.153987062493663,0.0,False
United_States_of_America.regions.Louisiana:Natchitoches,1.0,0.0,18.57950222815439,0.0,False
United_States_of_America.regions.Louisiana:Vernon,1.0,0.0,19.60403771356199,0.0,False
United_States_of_America.regions.Maine:Hancock,0.6666666666666666,0.0,20.789847626478846,0.0,False
United_States_of_America.regions.Maine:Oxford,0.0,0.0,22.095985665158935,0.0,False
United_States_of_America.regions.Maine:Penobscot,0.0,0.0,23.163612301319457,0.0,False
United_States_of_America.regions.Michigan:Delta,0.0,0.0,21.026322031495518,0.0,False
United_States_of_America.regions.Michigan:Marquette,0.0,0.0,22.32159422689524,0.0,False
United_States_of_America.regions.Minnesota:Becker,0.6666666666666666,0.0,18.97914303846514,0.0,False
United_States_of_America.regions.Minnesota:Morrison,0.0,0.0,20.825599602175963,0.0,False
United_States_of_America.regions.Minnesota:Otter Tail,0.0,0.0,22.11862352255356,0.0,False
United_States_of_America.regions.Montana:Cascade,2.0,0.0,20.133823351223075,0.0,False
United_States_of_America.regions.Montana:Gallatin,0.0,0.0,22.947000920902553,0.0,False
United_States_of_America.regions.Montana:Missoula,1.0,0.0,22.14862627688611,0.0,False
United_States_of_America.regions.Nevada:Lyon,0.0,0.0,22.082039049653854,0.0,False
United_States_of_America.regions.New Mexico:Curry,0.0,0.0,21.778133084382546,0.0,False
United_States_of_America.regions.New Mexico:Doña Ana,0.6666666666666666,0.0,23.057024339505016,0.0,False
United_States_of_America.regions.New Mexico:Sandoval,1.0,0.0,22.457986495158497,0.0,False
United_States_of_America.regions.New York:Delaware,0.0,0.0,21.555091617909948,0.0,False
United_States_of_America.regions.New York:Franklin,0.0,0.0,21.82174669253199,0.0,False
