region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Bom Jesus da Lapa,1.0,0.0,2.9464121363911855,0.0,False
Brazil.regions.GO:Padre Bernardo,1.8333333333333333,0.0,0.983366235679937,0.0,False
Brazil.regions.GO:Quirinópolis,8.892857142857142,0.0,4.606458144973091,0.0,False
Brazil.regions.MA:Parnarama,2.0,0.0,10.066911541906068,0.0,False
Brazil.regions.MG:Diamantina,1.4000000000000001,0.0,6.392642757385231,0.0,False
Brazil.regions.RS:Itaqui,12.145454545454545,0.0,5.21447437746403,0.0,False
Brazil.regions.RS:São Borja,9.577777777777778,0.0,3.987255246061964,0.0,False
Brazil.regions.AL:Maravilha,10.666666666666666,0.0,13.691387851275447,0.0,False
Brazil.regions.AL:Olho d'Água do Casado,1.0,0.0,9.276834568817426,0.0,False
Brazil.regions.BA:Araças,7.190476190476191,0.0,3.7846791696777102,0.0,False
Brazil.regions.BA:Ponto Novo,3.8000000000000003,0.0,7.370086575644495,0.0,False
Brazil.regions.CE:Piquet Carneiro,1.6666666666666667,0.0,4.040429905173134,0.0,False
Brazil.regions.ES:São Domingos do Norte,1.0,0.0,10.184645739252314,0.0,False
Brazil.regions.MA:Central do Maranhão,8.25,0.0,14.76473352330426,0.0,False
Brazil.regions.MA:Lago Verde,2.8000000000000003,0.0,12.598094840712156,0.0,False
Brazil.regions.MA:Nina Rodrigues,2.8000000000000003,0.0,14.644237938002027,0.0,False
Brazil.regions.MG:Cruzília,9.142857142857142,0.0,3.446399314997813,0.0,False
Brazil.regions.MG:Inhapim,7.190476190476191,0.0,3.050990320847641,0.0,False
Brazil.regions.MG:Itaipé,2.7,0.0,5.261590538534852,0.0,False
Brazil.regions.MG:Lagoa Dourada,1.0,0.0,6.294877793855509,0.0,False
Brazil.regions.MG:Malacacheta,4.466666666666667,0.0,2.158538935358118,0.0,False
Brazil.regions.PB:Cuité,10.666666666666666,0.0,4.504562193540242,0.0,False
Brazil.regions.PB:Lastro,2.7,0.0,33.96095361482711,0.0,False
Brazil.regions.PB:Picuí,9.142857142857142,0.0,3.6927667160199524,0.0,False
Brazil.regions.PB:Soledade,11.872727272727273,0.0,3.686950013773985,0.0,False
Brazil.regions.PR:Anahy,1.0,0.0,34.30942702705191,0.0,False
Brazil.regions.PR:Centenário do Sul,10.955555555555556,0.0,7.556767225804451,0.0,False
Brazil.regions.PR:Cruzeiro do Iguaçu,0.6666666666666666,0.0,45.18054443184104,0.0,False
Brazil.regions.PR:São João,4.466666666666667,0.0,5.959575838982116,0.0,False
Brazil.regions.RJ:Cambuci,2.3809523809523805,0.0,50.19493326044211,0.0,False
Brazil.regions.RJ:Laje do Muriaé,10.488888888888889,0.0,21.65281150773307,0.0,False
Brazil.regions.RN:Antônio Martins,7.190476190476191,0.0,8.294786976261154,0.0,False
Brazil.regions.RN:Caiçara do Norte,3.5333333333333337,0.0,27.75188512969844,0.0,False
Brazil.regions.RN:Rodolfo Fernandes,4.466666666666667,0.0,18.58129349561749,0.0,False
Brazil.regions.RS:Butiá,11.890909090909089,0.0,3.152636535652893,0.0,False
Brazil.regions.RS:São Jerônimo,4.466666666666667,0.0,1.745912659776837,0.0,False
Brazil.regions.SC:Ipuaçu,0.5,0.0,29.08099204313612,0.0,False
Brazil.regions.SC:Praia Grande,12.872727272727275,0.0,4.006900452266063,0.0,False
Brazil.regions.SE:Itabi,1.0,0.0,19.00356797770303,0.0,False
Brazil.regions.SE:Nossa Senhora Aparecida,1.8333333333333333,0.0,9.396650804958675,0.0,False
Brazil.regions.SE:Poço Redondo,13.705366922234392,0.1095290251916758,2.2404844669099604,1.1743810461771038,False
Brazil.regions.SP:Guaimbê,6.190476190476191,0.0,28.991093262172427,0.0,False
Brazil.regions.SP:Herculândia,9.0,0.0,19.87293067025804,0.0,False
Brazil.regions.SP:Marapoama,11.733333333333333,0.0,24.12932326058509,0.0,False
Brazil.regions.SP:Mendonça,3.5333333333333337,0.0,33.83910599880317,0.0,False
Brazil.regions.SP:Trabiju,1.8333333333333333,0.0,56.032487174369365,0.0,False
Brazil.regions.TO:Praia Norte,3.5714285714285716,0.0,105.60605716515653,0.0,False
United_States_of_America.regions.Kentucky:Bell,1.6666666666666667,0.0,1.9852817520276158,0.0,False
United_States_of_America.regions.North Carolina:Avery,1.0,0.0,4.303625756352176,0.0,False
Brazil.regions.AL:Jundiá,9.142857142857142,0.0,17.007411697886127,0.0,False
Brazil.regions.AL:Tanque d'Arca,3.466666666666667,0.0,41.63469669541067,0.0,False
Brazil.regions.CE:Pires Ferreira,12.872727272727275,0.0,3.4299406128310093,0.0,False
Brazil.regions.ES:Jaguaré,8.916666666666666,0.0,2.488845694330202,0.0,False
Brazil.regions.ES:Mantenópolis,3.4,0.0,9.658530913117811,0.0,False
Brazil.regions.GO:Santo Antônio de Goiás,11.733333333333333,0.0,7.052875226889246,0.0,False
Brazil.regions.MG:Cajuri,11.733333333333333,0.0,16.218426438787887,0.0,False
Brazil.regions.MG:Campanha,10.666666666666666,0.0,4.022919641111794,0.0,False
Brazil.regions.MG:Cipotânea,1.0,0.0,13.3419422514921,0.0,False
Brazil.regions.MG:Cláudio,13.813299232736572,0.2941176470588235,3.0848040355309374,0.20472178514121092,False
Brazil.regions.MG:Igaratinga,2.7,0.0,6.632703073678631,0.0,False
Brazil.regions.MG:Inconfidentes,2.7,0.0,11.070888152530554,0.0,False
Brazil.regions.MG:Itamarati de Minas,0.6666666666666666,0.0,44.06808084342233,0.0,False
Brazil.regions.MG:Miraí,4.133333333333334,0.0,5.075504748757572,0.0,False
Brazil.regions.MG:Oliveira,7.190476190476191,0.0,3.545999868897847,0.0,False
Brazil.regions.MG:Pitangui,4.466666666666667,0.0,1.5621728984135006,0.0,False
Brazil.regions.MG:São Gonçalo do Sapucaí,2.7,0.0,1.3540274253393787,0.0,False
Brazil.regions.PE:Palmeirina,1.8333333333333333,0.0,11.026676908430193,0.0,False
Brazil.regions.PE:Terezinha,8.777777777777779,0.0,32.176326769101365,0.0,False
Brazil.regions.PR:Capanema,1.0,0.0,3.83692344439053,0.0,False
Brazil.regions.PR:Laranjeiras do Sul,2.7,0.0,0.8323936847544893,0.0,False
Brazil.regions.PR:Realeza,14.42455242966752,0.2941176470588235,3.074725478246787,0.20472178514121092,False
Brazil.regions.PR:Wenceslau Braz,7.444444444444445,0.0,13.913868920406038,0.0,False
Brazil.regions.RN:Itaú,5.0,0.0,187.91845459980303,0.0,False
Brazil.regions.RN:Serra Caiada,4.133333333333334,0.0,9.02158391352152,0.0,False
Brazil.regions.RN:Umarizal,4.133333333333334,0.0,8.827148222480744,0.0,False
Brazil.regions.RS:Brochier,4.466666666666667,0.0,15.903221329911267,0.0,False
Brazil.regions.RS:Nova Bassano,10.177777777777777,0.0,16.90895221270034,0.0,False
Brazil.regions.SC:Canoinhas,13.514231499051235,0.47438330170777987,2.4931173506589106,0.3301964276471144,False
Brazil.regions.SC:Luiz Alves,12.054545454545455,0.0,4.483203514741846,0.0,False
Brazil.regions.SC:Luzerna,4.466666666666667,0.0,13.785053936446246,0.0,False
Brazil.regions.SE:São Francisco,1.8333333333333333,0.0,24.880693204858247,0.0,False
Brazil.regions.SP:Bernardino de Campos,9.142857142857142,0.0,3.6238187887248245,0.0,False
Brazil.regions.SP:Descalvado,1.8333333333333333,0.0,0.9936217601359311,0.0,False
Brazil.regions.SP:Santa Adélia,1.6666666666666667,0.0,4.603804135133124,0.0,False
Brazil.regions.TO:Buriti do Tocantins,10.666666666666666,0.0,3.4810302466363496,0.0,False
Brazil.regions.AL:Cajueiro,11.436363636363636,0.0,2.468088745554029,0.0,False
Brazil.regions.RS:Portão,9.0,0.0,2.223635687691444,0.0,False
Brazil.regions.AC:Marechal Thaumaturgo,3.6666666666666665,0.0,44.6039431297388,0.0,False
Brazil.regions.AC:Santa Rosa do Purus,11.2,0.0,14.582375327722792,0.0,False
Brazil.regions.AM:Guajará,2.952380952380952,0.0,45.12156921700166,0.0,False
Brazil.regions.AP:Pracuúba,18.825726141078835,0.0,46.371729418648705,10.160064194886246,False
Brazil.regions.BA:Morro do Chapéu,9.142857142857142,0.0,4.601156043003626,0.0,False
Brazil.regions.GO:Jussara,1.0,0.0,4.019732969384824,0.0,False
Brazil.regions.MA:Carolina,3.2,0.0,25.793977461219765,0.0,False
Brazil.regions.MA:Formosa da Serra Negra,5.642857142857142,0.0,16.513808959582384,0.0,False
Brazil.regions.MA:Mirador,12.872727272727275,0.0,5.691519088197515,0.0,False
Brazil.regions.MA:São Raimundo das Mangabeiras,3.0833333333333335,0.0,41.78750289019716,0.0,False
Brazil.regions.MA:Tasso Fragoso,1.0,0.0,10.343603631958672,0.0,False
Brazil.regions.MG:Campina Verde,2.7,0.0,2.4891732526222246,0.0,False
Brazil.regions.MS:Camapuã,4.466666666666667,0.0,3.4883184672908136,0.0,False
Brazil.regions.MT:Alto Araguaia,0.8333333333333333,0.0,8.5298421822617,0.0,False
Brazil.regions.MT:Campo Verde,3.866666666666667,0.0,0.9767252305681687,0.0,False
Brazil.regions.MT:Nobres,7.190476190476191,0.0,3.059708503106219,0.0,False
Brazil.regions.MT:Nossa Senhora do Livramento,9.142857142857142,0.0,3.5235592946588215,0.0,False
Brazil.regions.MT:Nova Xavantina,2.7,0.0,2.103181397026683,0.0,False
