region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Barreiras,2.9188908145580594,0.0,42.91404261649211,0.0,False
Brazil.regions.BA:Bom Jesus da Lapa,1.0,0.0,16.825500888669744,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,2.4019453207150367,0.0,9.796480865493502,0.0,False
Brazil.regions.BA:Campo Formoso,2.542702485966319,0.0,36.08453915968346,0.0,False
Brazil.regions.GO:Formosa,3.4247987572376783,0.0,26.05694271887601,0.0,False
Brazil.regions.GO:Jataí,3.8256499133448876,0.0,35.999193085642084,0.0,False
Brazil.regions.GO:Minaçu,1.416210295728368,0.0,11.54490863170784,0.0,False
Brazil.regions.GO:Padre Bernardo,1.0,0.0,18.208501731480894,0.0,False
Brazil.regions.GO:Quirinópolis,0.75,0.0,18.667266944506533,0.0,False
Brazil.regions.MA:Arame,6.257393209200438,0.0,13.415944866403438,0.0,False
Brazil.regions.MA:Parnarama,2.0,0.0,9.705001483154863,0.0,False
Brazil.regions.MA:Tuntum,12.462205700123915,0.0,28.776512620545148,0.0,False
Brazil.regions.MG:Diamantina,3.266666666666667,0.0,10.966282826811295,0.0,False
Brazil.regions.MG:Três Marias,1.5441640378548898,0.0,23.83175388382054,0.0,False
Brazil.regions.MG:Unaí,5.452674897119341,0.0,31.622146684612506,0.0,False
Brazil.regions.MS:Naviraí,1.7757234726688103,0.0,30.050289688887037,0.0,False
Brazil.regions.MS:Nova Andradina,7.219455252918289,0.0,20.49671130828167,0.0,False
Brazil.regions.MS:Ponta Porã,2.8544194107452348,0.0,42.3150405334775,0.0,False
Brazil.regions.MS:Sidrolândia,2.877989601386482,0.0,41.523170768358376,0.0,False
Brazil.regions.MT:Primavera do Leste,11.62651132116949,0.0,13.49580391355756,0.0,False
Brazil.regions.MT:Sorriso,15.719165085388996,0.0,8.00630964708663,0.0,False
Brazil.regions.PA:Ipixuna do Pará,17.658767772511847,0.0,11.76060745198655,0.0,False
Brazil.regions.PA:Ulianópolis,22.229601518026566,0.0,23.032085920201325,0.0,False
Brazil.regions.PI:Floriano,18.590226316843584,0.0,15.38026305668386,0.0,False
Brazil.regions.RS:Alegrete,1.556455532156164,0.0,37.32515027454024,0.0,False
Brazil.regions.RS:Caçapava do Sul,1.0,0.0,18.189955020790137,0.0,False
Brazil.regions.RS:Itaqui,0.2727272727272727,0.0,16.5726529362893,0.0,False
Brazil.regions.RS:Sant'Ana do Livramento,6.611854419410746,0.0,29.748318698869905,0.0,False
Brazil.regions.RS:São Borja,1.1555555555555554,0.0,15.929364789721117,0.0,False
Brazil.regions.RS:São Gabriel,2.7693216334795814,0.0,38.276825098175934,0.0,False
Brazil.regions.RS:Uruguaiana,1.0843739453256835,0.0,36.289164011660766,0.0,False
United_States_of_America.regions.California:Del Norte,1.2154910563617956,0.0,26.390567931794138,0.0,False
United_States_of_America.regions.California:Humboldt,18.828769497400348,0.0,27.61237346115517,0.0,False
United_States_of_America.regions.California:Mendocino,4.790641247833623,0.0,33.46240040437745,0.0,False
United_States_of_America.regions.Colorado:Fremont,13.339688041594453,0.0,10.12176349967902,0.0,False
United_States_of_America.regions.Colorado:Mesa,28.988214904679378,0.0,22.25985982845032,0.0,False
United_States_of_America.regions.Hawaii:Hawaii,49.72235701906413,0.0,16.98428120928732,0.0,False
United_States_of_America.regions.Idaho:Jefferson,0.6447140381282497,0.0,27.948328896757232,0.0,False
United_States_of_America.regions.Kansas:Butler,6.60207972270364,0.0,27.736610130890725,0.0,False
United_States_of_America.regions.Maine:Oxford,9.25948006932409,0.0,20.64977484807493,0.0,False
United_States_of_America.regions.Maine:Penobscot,48.914800693240906,0.0,9.745290371465314,0.0,False
United_States_of_America.regions.Minnesota:Becker,14.927962326587757,0.0,29.55234027060731,0.0,False
United_States_of_America.regions.Minnesota:Morrison,11.959343080312436,0.0,20.974164759481457,0.0,False
United_States_of_America.regions.Minnesota:Otter Tail,14.71490280777538,0.0,15.843918201315963,0.0,False
United_States_of_America.regions.Nevada:Lyon,23.79445407279029,0.0,11.980098921620959,0.0,False
United_States_of_America.regions.New Mexico:Curry,13.905372616984401,0.0,10.470259528884862,0.0,False
