region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.AC:Cruzeiro do Sul,22.59433531292828,0.0,32.316435511558296,0.0,False
Brazil.regions.BA:Barreiras,0.0,0.0,46.151232641947814,0.0,False
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,42.45605155431634,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,3.9319137749737116,0.0,29.668681924210045,0.0,False
Brazil.regions.BA:Campo Formoso,0.0,0.0,45.390195793940435,0.0,False
Brazil.regions.GO:Formosa,3.533120146185472,0.0,43.06719806926792,0.0,False
Brazil.regions.GO:Jataí,2.0009136592051164,0.0,43.81989482167317,0.0,False
Brazil.regions.GO:Minaçu,1.7962760131434832,0.0,37.175459297354436,0.0,False
Brazil.regions.GO:Padre Bernardo,0.0,0.0,43.83905239712749,0.0,False
Brazil.regions.GO:Quirinópolis,0.25,0.0,44.29781761015313,0.0,False
Brazil.regions.MA:Arame,6.637458926615554,0.0,23.43914255650929,0.0,False
Brazil.regions.MA:Açailândia,5.717222476016445,0.0,40.820786889460145,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,35.335552148801455,0.0,False
Brazil.regions.MA:Tuntum,8.115577889447236,0.0,35.615079947390925,0.0,False
Brazil.regions.MG:Diamantina,3.8666666666666667,0.0,36.59683349245789,0.0,False
Brazil.regions.MG:Três Marias,0.0,0.0,43.70395494253708,0.0,False
Brazil.regions.MG:Unaí,0.5139333028780265,0.0,45.00034430249476,0.0,False
Brazil.regions.MS:Naviraí,0.0,0.0,44.97234798769101,0.0,False
Brazil.regions.MS:Nova Andradina,9.083599817268158,0.0,28.249679386095167,0.0,False
Brazil.regions.MS:Ponta Porã,0.0,0.0,45.713794534637174,0.0,False
Brazil.regions.MS:Sidrolândia,0.0,0.0,45.060417663362365,0.0,False
Brazil.regions.MT:Primavera do Leste,5.306075833714024,0.0,36.62659776734166,0.0,False
Brazil.regions.MT:Sorriso,16.719165085388994,0.0,27.174843678251023,0.0,False
Brazil.regions.PA:Ipixuna do Pará,18.843601895734597,0.0,15.81459915745163,0.0,False
Brazil.regions.PA:Muaná,3.615806304248515,0.0,35.35486748941517,0.0,False
Brazil.regions.PA:Ulianópolis,23.229601518026566,0.0,10.410263226840694,0.0,False
Brazil.regions.PI:Floriano,16.797396071265418,0.0,21.985100651970416,0.0,False
Brazil.regions.RS:Alegrete,0.0,0.0,45.43567308121351,0.0,False
Brazil.regions.RS:Caçapava do Sul,0.0,0.0,43.82050568643673,0.0,False
Brazil.regions.RS:Itaqui,0.7272727272727273,0.0,42.20320360193589,0.0,False
Brazil.regions.RS:Sant'Ana do Livramento,5.0817724988579265,0.0,38.8989345870672,0.0,False
Brazil.regions.RS:São Borja,2.155555555555556,0.0,41.559915455367715,0.0,False
Brazil.regions.RS:São Gabriel,0.0,0.0,45.18439551536134,0.0,False
Brazil.regions.RS:Uruguaiana,1.9004111466423024,0.0,44.51024392020701,0.0,False
