region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Barreiras,163.86287247563908,0.0,2349.169552426292,0.0,False
Brazil.regions.BA:Bom Jesus da Lapa,1.0,0.0,52.67402248405565,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,41.71267087276551,0.0,647.7057042755462,0.0,False
Brazil.regions.BA:Campo Formoso,163.86287247563908,0.0,2348.408515578284,0.0,False
Brazil.regions.GO:Formosa,158.49103234006498,0.0,2344.5736239659245,0.0,False
Brazil.regions.GO:Jataí,161.49032622510947,0.0,2346.4698311567154,0.0,False
Brazil.regions.GO:Minaçu,15.464403066812705,0.0,250.65282418313976,0.0,False
Brazil.regions.GO:Padre Bernardo,3.0,0.0,54.0570233268668,0.0,False
Brazil.regions.GO:Quirinópolis,2.75,0.0,54.51578853989244,0.0,False
Brazil.regions.MA:Arame,13.142387732749178,0.0,236.91650744229463,0.0,False
Brazil.regions.MA:Açailândia,149.86626182742552,0.0,2336.476050804537,0.0,False
Brazil.regions.MA:Parnarama,0.0,0.0,45.55352307854076,0.0,False
Brazil.regions.MA:Tuntum,90.46503805983362,0.0,1465.846216752468,0.0,False
Brazil.regions.MG:Diamantina,2.066666666666667,0.0,46.8148044221972,0.0,False
Brazil.regions.MG:Três Marias,45.64458464773922,0.0,661.7409772938732,0.0,False
Brazil.regions.MG:Unaí,161.63154921621245,0.0,2345.9833113212494,0.0,False
Brazil.regions.MS:Naviraí,163.6157322412089,0.0,2347.540322944544,0.0,False
Brazil.regions.MS:Nova Andradina,154.727015958198,0.0,2330.6784152088608,0.0,False
Brazil.regions.MS:Ponta Porã,163.86287247563908,0.0,2348.7321143189815,0.0,False
Brazil.regions.MS:Sidrolândia,163.86287247563908,0.0,2348.078737447706,0.0,False
Brazil.regions.MT:Primavera do Leste,155.20166643129502,0.0,2334.2350750669148,0.0,False
Brazil.regions.MT:Sorriso,11.024667931688805,0.0,296.76202004571036,0.0,False
Brazil.regions.PA:Ipixuna do Pará,20.51184834123223,0.0,503.5463909002817,0.0,False
Brazil.regions.PA:Ulianópolis,14.817836812144211,0.0,275.4602796647397,0.0,False
Brazil.regions.PI:Floriano,45.809533346685356,0.0,919.1151807523607,0.0,False
Brazil.regions.RS:Alegrete,163.71035164524787,0.0,2348.2467325000257,0.0,False
