region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,4.04624140623682,0.0,False
Brazil.regions.GO:Minaçu,8.0065717415115,0.0,6.461668407365575,0.0,False
Brazil.regions.GO:Padre Bernardo,0.0,0.0,2.6632405634256697,0.0,False
Brazil.regions.GO:Quirinópolis,1.1428571428571428,0.0,1.7973726398475536,0.0,False
Brazil.regions.MA:Arame,4.1073384446878425,0.0,20.19798514821072,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,11.166740811751701,0.0,False
Brazil.regions.MG:Diamantina,3.8666666666666667,0.0,9.905459468095271,0.0,False
Brazil.regions.MT:Sorriso,4.774193548387097,0.0,15.836186509861138,0.0,False
Brazil.regions.PA:Eldorado do Carajás,25.426154847104748,0.11060507482108002,2.7071187457804755,0.32715651567995746,False
Brazil.regions.PA:Ipixuna do Pará,32.11848341232228,0.0,16.740035352319996,0.0,False
Brazil.regions.PA:Ulianópolis,11.28462998102467,0.0,37.13792689083178,0.0,False
Brazil.regions.RS:Caçapava do Sul,16.423236514522824,0.0,3.4547714403552847,0.0,False
Brazil.regions.RS:Itaqui,3.6727272727272724,0.0,3.0130623345130263,0.0,False
Brazil.regions.RS:São Borja,1.8888888888888886,0.0,4.02007529597938,0.0,False
Brazil.regions.AL:Canapi,7.953964194373401,0.0,3.0256494549249386,0.0,False
Brazil.regions.AL:Maravilha,2.088888888888889,0.0,21.33989525766827,0.0,False
Brazil.regions.AL:Olho d'Água do Casado,0.0,0.0,10.37666383866306,0.0,False
Brazil.regions.BA:Araças,0.8571428571428571,0.0,7.6693997200845825,0.0,False
Brazil.regions.BA:Dário Meira,66.36792452830188,0.0,13.350614690617931,0.0,False
Brazil.regions.BA:Nordestina,32.49708963911525,0.0,8.612606757324276,0.0,False
Brazil.regions.BA:Ponto Novo,0.6666666666666666,0.0,10.882903286354535,0.0,False
Brazil.regions.CE:Antonina do Norte,47.450236966824654,0.0,6.901782495363031,0.0,False
Brazil.regions.CE:Aurora,25.738451528952503,1.0,2.4629626476070348,4.0561369351829315,False
Brazil.regions.CE:Piquet Carneiro,0.0,0.0,5.604295221338847,0.0,False
Brazil.regions.ES:Conceição da Barra,11.375711574952561,0.0,1.6543171344447563,0.0,False
Brazil.regions.ES:Ibitirama,55.03014642549527,0.0,11.980280374954592,0.0,False
Brazil.regions.ES:Pancas,5.153526970954357,0.0,59.57155391305412,0.0,False
Brazil.regions.ES:Rio Bananal,36.411733892090105,0.0,15.101747769119719,0.0,False
Brazil.regions.ES:São Domingos do Norte,0.0,0.0,11.284475009097948,0.0,False
Brazil.regions.MA:Anapurus,9.635653871177619,0.0,122.13742597895005,0.0,False
Brazil.regions.MA:Cajari,12.528952504879637,0.0,73.34750924206739,0.0,False
Brazil.regions.MA:Central do Maranhão,1.3571428571428572,0.0,21.125328934078368,0.0,False
Brazil.regions.MA:Coroatá,22.089639115250293,0.0,76.42905841655461,0.0,False
Brazil.regions.MA:Lago Verde,1.6666666666666667,0.0,16.110911551422195,0.0,False
Brazil.regions.MA:Nina Rodrigues,1.6666666666666667,0.0,18.15705464871207,0.0,False
Brazil.regions.MA:Peritoró,58.44339622641508,0.0,25.166278423498138,0.0,False
Brazil.regions.MA:Senador Alexandre Costa,7.148337595907928,0.0,13.589987913196147,0.0,False
Brazil.regions.MA:São Bernardo,14.163682864450127,0.0,78.47757857470674,0.0,False
Brazil.regions.MA:Água Doce do Maranhão,4.34830230010953,0.0,60.036734517580655,0.0,False
Brazil.regions.MG:Cana Verde,5.0971867007672635,0.0,96.16086541085019,0.0,False
Brazil.regions.MG:Capinópolis,16.423236514522824,0.0,3.5671499863678378,0.0,False
Brazil.regions.MG:Cruzília,1.3928571428571428,0.0,5.786964661495275,0.0,False
Brazil.regions.MG:Divisa Nova,47.72037914691944,0.0,10.866240294110858,0.0,False
Brazil.regions.MG:Inhapim,0.8571428571428571,0.0,3.599698457181065,0.0,False
Brazil.regions.MG:Itaipé,0.0,0.0,7.544711726496686,0.0,False
Brazil.regions.MG:Itumirim,16.423236514522824,0.0,11.510577885177565,0.0,False
Brazil.regions.MG:Lagoa Dourada,0.0,0.0,7.394707063701143,0.0,False
Brazil.regions.MG:Malacacheta,0.0,0.0,5.069651425791567,0.0,False
Brazil.regions.MG:Piranguçu,7.342710997442455,0.0,33.932653073515105,0.0,False
Brazil.regions.MG:Poté,16.423236514522824,0.0,3.5239335045471467,0.0,False
Brazil.regions.MG:São Francisco do Glória,9.299014238773275,0.0,27.887839027028072,0.0,False
Brazil.regions.MG:Tombos,9.802847754654982,0.0,9.308275147054244,0.0,False
Brazil.regions.PA:Bonito,50.84905660377358,0.0,91.89540873762097,0.0,False
Brazil.regions.PB:Cuité,2.1944444444444446,0.0,3.983235707370353,0.0,False
Brazil.regions.PB:Lastro,0.0,0.0,36.244074802788944,0.0,False
Brazil.regions.PB:Picuí,1.3928571428571428,0.0,4.647354238116165,0.0,False
Brazil.regions.PB:Pocinhos,9.802847754654982,0.0,2.5264507292007226,0.0,False
