region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Barreiras,6.759975139838409,0.0,10.417142856169233,0.0,False
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,2.975398180505384,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,0.8096740273396424,0.0,9.872747339269857,0.0,False
Brazil.regions.BA:Campo Formoso,6.369286287089015,0.0,8.64122483350871,0.0,False
Brazil.regions.GO:Formosa,1.627877418443723,0.0,3.6220847413992447,0.0,False
Brazil.regions.GO:Jataí,5.492728402734617,0.0,6.786355819147905,0.0,False
Brazil.regions.GO:Minaçu,1.1938663745892661,0.0,5.491227813076007,0.0,False
Brazil.regions.GO:Padre Bernardo,1.3333333333333333,0.0,0.9087480632306901,0.0,False
Brazil.regions.GO:Quirinópolis,1.7857142857142858,0.0,1.6866008027512382,0.0,False
Brazil.regions.MA:Arame,5.4874041621029575,0.0,19.43672419347449,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,10.095897586020266,0.0,False
Brazil.regions.MA:Tuntum,10.920339883165163,0.0,28.469009234439856,0.0,False
Brazil.regions.MG:Diamantina,2.066666666666667,0.0,6.185715514072434,0.0,False
Brazil.regions.MG:Três Marias,4.320977917981073,0.0,4.192220958879754,0.0,False
Brazil.regions.MG:Unaí,4.145753834642723,0.0,4.8399939948942885,0.0,False
Brazil.regions.MS:Naviraí,5.340836012861736,0.0,6.694770734157586,0.0,False
Brazil.regions.MS:Nova Andradina,3.2700389105058365,0.0,9.707216248515298,0.0,False
Brazil.regions.MS:Ponta Porã,6.910379117464264,0.0,9.848910707596449,0.0,False
Brazil.regions.MS:Sidrolândia,6.897949036668739,0.0,8.836674939253427,0.0,False
Brazil.regions.MT:Primavera do Leste,7.958892064189933,0.0,14.483468348144164,0.0,False
Brazil.regions.MT:Sorriso,14.242884250474383,0.0,14.881132937454804,0.0,False
Brazil.regions.PA:Ipixuna do Pará,15.521327014218011,0.0,25.088184281222837,0.0,False
Brazil.regions.PA:Ulianópolis,20.753320683111955,0.0,36.18287331842544,0.0,False
Brazil.regions.PI:Floriano,15.345683957540556,0.0,27.392691503077312,0.0,False
Brazil.regions.RS:Alegrete,5.488822290620443,0.0,7.491484504707158,0.0,False
Brazil.regions.RS:Caçapava do Sul,2.663900414937759,0.0,2.0686104114066124,0.0,False
Brazil.regions.RS:Itaqui,1.290909090909091,0.0,1.354535960651396,0.0,False
Brazil.regions.RS:São Borja,0.6666666666666666,0.0,1.4608107780242232,0.0,False
Brazil.regions.RS:São Gabriel,6.658791765102936,0.0,8.831693074693966,0.0,False
Brazil.regions.RS:Uruguaiana,3.090617617279784,0.0,6.842030874015105,0.0,False
United_States_of_America.regions.California:Del Norte,4.229159635504557,0.0,4.182891526408199,0.0,False
United_States_of_America.regions.California:Humboldt,19.933374766935984,0.0,12.642308621410475,0.0,False
