region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Barreiras,2.732137853740543,0.0,53.63586987308639,0.0,False
Brazil.regions.BA:Bom Jesus da Lapa,1.0,0.0,24.905521251187544,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,1.9603049421661412,0.0,26.53260426626016,0.0,False
Brazil.regions.BA:Campo Formoso,2.6028468323977547,0.0,51.27652515447234,0.0,False
Brazil.regions.GO:Formosa,2.934754978110437,0.0,45.17067033707527,0.0,False
Brazil.regions.GO:Jataí,10.19307332927077,0.0,41.69567914664662,0.0,False
Brazil.regions.GO:Minaçu,1.416210295728368,0.0,19.62492899422564,0.0,False
Brazil.regions.GO:Padre Bernardo,1.0,0.0,26.288522093998694,0.0,False
Brazil.regions.GO:Quirinópolis,0.75,0.0,26.747287307024333,0.0,False
Brazil.regions.MA:Arame,6.257393209200438,0.0,11.182676730265406,0.0,False
Brazil.regions.MA:Parnarama,2.0,0.0,17.785021845672663,0.0,False
Brazil.regions.MA:Tuntum,12.074526464861037,0.0,29.18368692470044,0.0,False
Brazil.regions.MG:Diamantina,3.266666666666667,0.0,19.04630318932909,0.0,False
Brazil.regions.MG:Três Marias,1.9858044164037856,0.0,40.5678772845872,0.0,False
Brazil.regions.MG:Unaí,6.173213617658061,0.0,43.977921376588974,0.0,False
Brazil.regions.MS:Naviraí,2.189710610932476,0.0,48.47046610634497,0.0,False
Brazil.regions.MS:Nova Andradina,7.394552529182879,0.0,33.54313610830778,0.0,False
Brazil.regions.MS:Ponta Porã,2.1344173441734418,0.0,53.041733304984135,0.0,False
Brazil.regions.MS:Sidrolândia,1.8109892342067844,0.0,51.98641283143414,0.0,False
Brazil.regions.MT:Primavera do Leste,11.464937348867885,0.0,28.467294583379722,0.0,False
Brazil.regions.MT:Sorriso,15.719165085388996,0.0,10.106808299202264,0.0,False
Brazil.regions.PA:Ipixuna do Pará,17.345971563981045,0.0,7.820811078737447,0.0,False
Brazil.regions.PA:Ulianópolis,22.229601518026566,0.0,18.142996457784147,0.0,False
Brazil.regions.PI:Floriano,18.017424394151817,0.0,16.757237609307964,0.0,False
