region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Bom Jesus da Lapa,1.0,0.0,7.254338523628408,0.0,False
Brazil.regions.GO:Minaçu,0.8138006571741512,0.0,5.84533569626517,0.0,False
Brazil.regions.GO:Padre Bernardo,1.0,0.0,8.637339366439559,0.0,False
Brazil.regions.GO:Quirinópolis,0.75,0.0,9.096104579465196,0.0,False
Brazil.regions.MA:Arame,5.6549835706462215,0.0,13.561790617717666,0.0,False
Brazil.regions.MA:Parnarama,2.0,0.0,0.1338391181135261,0.0,False
Brazil.regions.MG:Diamantina,3.266666666666667,0.0,3.445201129180998,0.0,False
Brazil.regions.MT:Sorriso,15.064516129032258,0.0,6.293114309377262,0.0,False
Brazil.regions.PA:Ipixuna do Pará,15.815165876777252,0.0,8.64469876830573,0.0,False
Brazil.regions.PA:Ulianópolis,21.574952561669832,0.0,26.674457125400213,0.0,False
Brazil.regions.RS:Caçapava do Sul,1.8215767634854771,0.0,13.381004361553794,0.0,False
Brazil.regions.RS:Itaqui,0.6181818181818182,0.0,9.003893454708116,0.0,False
Brazil.regions.RS:São Borja,0.9555555555555555,0.0,7.517488304577762,0.0,False
Brazil.regions.AL:Canapi,1.5370843989769822,0.0,9.063326615468366,0.0,False
Brazil.regions.AL:Maravilha,0.8,0.0,10.436440663991922,0.0,False
Brazil.regions.AL:Olho d'Água do Casado,1.0,0.0,0.9239160912021678,0.0,False
Brazil.regions.BA:Araças,1.0,0.0,3.3806554648252742,0.0,False
Brazil.regions.BA:Nordestina,1.5296856810244468,0.0,6.443250496877179,0.0,False
Brazil.regions.BA:Ponto Novo,0.3333333333333333,0.0,2.840823026954872,0.0,False
Brazil.regions.CE:Antonina do Norte,2.7582938388625595,0.0,6.780637656270443,0.0,False
Brazil.regions.CE:Piquet Carneiro,1.0,0.0,5.696284708526381,0.0,False
Brazil.regions.ES:Conceição da Barra,1.0853889943074002,0.0,10.335623033856514,0.0,False
Brazil.regions.ES:Pancas,12.228215767634856,0.0,48.8795006614588,0.0,False
Brazil.regions.ES:Rio Bananal,1.6600314300680985,0.0,6.736274835333061,0.0,False
Brazil.regions.ES:São Domingos do Norte,1.0,0.0,0.01610492076727965,0.0,False
Brazil.regions.MA:Anapurus,17.245933636955105,0.0,111.41088962319256,0.0,False
Brazil.regions.MA:Cajari,12.491867273910216,0.0,62.54602349372411,0.0,False
Brazil.regions.MA:Central do Maranhão,0.10714285714285714,0.0,10.245313798166125,0.0,False
Brazil.regions.MA:Coroatá,53.04307334109429,0.0,67.5214448786699,0.0,False
